FetchDate,Company,Status,Category,Accession,Filed,Document,Description,Class/Type,Security Level,Period,Operating Revenue,Operating Expenses,Depreciation,Amortization,Grand Total,Download File Location
07/26/2022,Ohio River Pipe Line,complete,Submittal,20220413-8025,04/13/2022,04/13/2022,Ohio River Pipe Line LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"111,882,850","23,399,961","7,717,104","651,116","83,507,430",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/ohio_river_pipe_line_form6
07/26/2022,Olympic Pipe Line,complete,Submittal,20220331-8007,03/31/2022,03/31/2022,Olympic Pipe Line Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"77,297,767","52,202,844","7,259,859",,"104,477,260",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/olympic_pipe_line_form6
07/26/2022,Osage Pipe Line,complete,Submittal,20220414-8081,04/14/2022,04/14/2022,"Osage Pipe Line Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"17,310,012","8,163,039.45","996,123",,"59,524,493",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/osage_pipe_line_form6
07/26/2022,Paloma Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Devon EnergyOffshore Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,DevonEnergy Petroleum Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Phillips Alaska Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Phillips Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Phillips Texas Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Pioneer Pipe Line,complete,Submittal,20220416-8003,04/16/2022,04/16/2022,Pioneer Pipe Line Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"39,413,334","11,336,514.00","2,096,531",,"22,352,641",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/pioneer_pipe_line_form6
07/26/2022,Plantation Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Platte Pipe Line,complete,Submittal,20220418-8009,04/18/2022,04/18/2022,"Platte Pipe Line Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"120,978,112","70,262,981","15,699,299",,"72,452,390",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/platte_pipe_line_form6
07/26/2022,Pogo Offshore Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Point Arguello Pipeline,complete,Submittal,20220414-8062,04/14/2022,04/14/2022,Point Arguello Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,,,,,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/point_arguello_pipeline_form6
07/26/2022,Point Arguello Terminal,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Point Pedernales Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Portland Pipe Line,complete,Submittal,20220322-8002,03/22/2022,03/22/2022,Portland Pipe Line Corporation submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"1,180,401","5,551,688","1,043,551",,"3,228,218",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/portland_pipe_line_form6
07/26/2022,Propylene Pipeline Partnership,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Razorback Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Rio Grande Pipeline,complete,Submittal,20220413-8019,04/13/2022,04/13/2022,Rio Grande Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"11,897,549","4,143,202","1,286,048",,"3,781,333",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/rio_grande_pipeline_form6
07/26/2022,SFPP ,complete,Submittal,20220412-8019,04/12/2022,04/12/2022,"SFPP, L.P. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"319,914,221","250,627,970","71,809,826",,"403,726,565",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/sfpp__form6
07/26/2022,San Pedro Bay Pipeline,complete,Submittal,20220418-8054,04/18/2022,04/18/2022,San Pedro Bay Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"2,485,048","3,234,709","160,540",,0,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/san_pedro_bay_pipeline_form6
07/26/2022,Scrulock Permian Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Seaway Crude Pipeline,complete,Submittal,20220413-8015,04/13/2022,04/13/2022,Seaway Crude Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"885,190,544","213,669,677","47,224,505",,"358,788,439",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/seaway_crude_pipeline_form6
07/26/2022,Seminole Pipeline,complete,Submittal,20220415-8061,04/15/2022,04/15/2022,Seminole Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"210,829,561","171,305,999","15,984,568","146,812","68,059,985",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/seminole_pipeline_form6
07/26/2022,Ship Shoal Pipeline,complete,Submittal,20220505-8001,05/05/2022,05/05/2022,Ship Shoal Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"25,175,331","16,603,504","1,662,302",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/ship_shoal_pipeline_form6
07/26/2022,Sinclair Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Skelly-Belvieu Pipeline,complete,Submittal,20220413-8020,04/13/2022,04/13/2022,"Skelly-Belvieu Pipeline Company, L.L.C. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"20,908,437","12,576,464","2,207,520",,"5,434,741",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/skelly_belvieu_pipeline_form6
07/26/2022,Sorrento Pipeline,complete,Submittal,20220415-8040,04/15/2022,04/15/2022,"Sorrento Pipeline Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"42,567,578","30,547,629","7,353,526",,"71,910,400",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/sorrento_pipeline_form6
07/26/2022,Southcap Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,St. Louis Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Sun Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Enterprise TE Products Pipeline,complete,Submittal,20220413-8016,04/13/2022,04/13/2022,Enterprise TE Products Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"806,292,339","362,802,928","89,923,371","172,746","404,550,927",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/enterprise_te_products_pipeline_form6
07/26/2022,Enterprise Crude Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,TPC Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Texas-New Mexico Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,The Largo,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,The Shamrock Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,TPI Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Trans Mountain Pipeline (Puget Sound),complete,Submittal,20220413-8013,04/13/2022,04/13/2022,Trans Mountain Pipeline (Puget Sound) LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"29,834,665","12,494,005","1,803,956",0,"69,061,658",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/trans_mountain_pipeline__puget_sound__form6
07/26/2022,Razorback,complete,Submittal,20220418-8079,04/18/2022,04/18/2022,Razorback L.L.C. submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"636,800","1,310,494","3,311,499",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/razorback_form6
07/26/2022,Tri-States NGL Pipeline,complete,Submittal,20220413-8021,04/13/2022,04/13/2022,"Tri-States NGL Pipeline, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"60,267,979","16,981,833","5,850,167",,"20,979,292",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/tri_states_ngl_pipeline_form6
07/26/2022,Unocal Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,URSA Oil Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Targa NGL Pipeline,complete,Submittal,20220418-8058,04/18/2022,04/18/2022,Targa NGL Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"84,286,071","87,254,804","24,872,524",,"20,215,751",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/targa_ngl_pipeline_form6
07/26/2022,WesTTex 66 Pipeline,complete,Submittal,20220416-8005,04/16/2022,04/16/2022,WesTTex 66 Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"11,223,644","7,873,294","894,784",,"7,348,459",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/westtex_66_pipeline_form6
07/26/2022,West Emerald Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,West Shore Pipe Line,complete,Submittal,20220418-8012,04/18/2022,04/18/2022,West Shore Pipe Line Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"73,692,378","29,976,019","4,766,153","88,204","101,536,176",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/west_shore_pipe_line_form6
07/26/2022,West Texas Gulf Pipe Line,complete,Submittal,20220414-8015,04/14/2022,04/14/2022,West Texas Gulf Pipe Line Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"88,626,890","38,099,156","7,021,261",,"86,999,111",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/west_texas_gulf_pipe_line_form6
07/26/2022,West Texas LPG Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Magellan Pipeline,complete,Submittal,20220415-8094,04/15/2022,04/15/2022,"Magellan Pipeline Company, L.P. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"1,015,084,394","559,042,950","75,564,001","2,685,650","594,440,770",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/magellan_pipeline_form6
07/26/2022,Wolverine Pipe Line,complete,Submittal,20220412-8000,04/12/2022,04/12/2022,Wolverine Pipe Line Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"131,708,498","65,848,360","9,120,097","327,972","131,152,767",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/wolverine_pipe_line_form6
07/26/2022,Yellowstone Pipe Line,complete,Submittal,20220416-8004,04/16/2022,04/16/2022,Yellowstone Pipe Line Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"41,152,800","26,415,762.00","4,180,501",,"40,398,943",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/yellowstone_pipe_line_form6
07/26/2022,SouthTex 66 Pipeline,complete,Submittal,20220416-8007,04/16/2022,04/16/2022,"SouthTex 66 Pipeline Company, Ltd. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"71,308,820","37,835,422","4,485,173",,"41,115,562",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/southtex_66_pipeline_form6
07/26/2022,Enbridge Pipelines (Toledo),complete,Submittal,20220414-8039,04/14/2022,04/14/2022,Enbridge Pipelines (Toledo) Inc. submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"47,488,535","36,742,842","7,807,335",,"36,716,396",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/enbridge_pipelines__toledo__form6
07/26/2022,ARCO Midcon,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Seaway Products Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,NuStar Logistics,complete,Submittal,20220404-8008,04/04/2022,04/04/2022,"NuStar Logistics, L.P. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"303,179,955","198,023,276","20,934,692","9,593,969","361,558,017",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/nustar_logistics_form6
07/26/2022,Ellwood Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,El Paso Energy Oil Transmission,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Red Butte Pipe Line,complete,Submittal,20220525-8041,05/25/2022,05/25/2022,Red Butte Pipe Line LLC submits FERC Form 6 report for 2020/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2020/Q4,"26,828,834","31,680,834","22,940,076","29,803","9,374,686",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/red_butte_pipe_line_form6
07/26/2022,Williams Alaska Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Chevron Phillips Chemical Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Cypress Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Baton Rouge Pipeline,complete,Submittal,20220413-8017,04/13/2022,04/13/2022,Baton Rouge Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"2,332,923","2,427,609","425,714",,"11,108,509",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/baton_rouge_pipeline_form6
07/26/2022,Enterprice Lou-Tex NGL Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,WILPRISE Pipeline,complete,Submittal,20220413-8014,04/13/2022,04/13/2022,"WILPRISE Pipeline Company, L.L.C. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"4,385,023","1,900,397","808,774",,"9,551,090",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/wilprise_pipeline_form6
07/26/2022,Western Refining Pipeline,complete,Submittal,20220413-8009,04/13/2022,04/13/2022,"Western Refining Pipeline, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"130,657,879","67,652,967","36,661,483",,"84,419,464",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/western_refining_pipeline_form6
07/26/2022,Suburban Propane,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Alpine Transportation,complete,Submittal,20220330-8002,03/30/2022,03/30/2022,Alpine Transportation Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"20,871,442","15,758,962","3,554,901",,"16,058,118",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/alpine_transportation_form6
07/26/2022,Enterprise Lou-Tex Propylene Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Enbridge Pipelines (NE Texas Liquids),nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,TBI Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,El Paso Merchant Energy - Petroleum,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Diamaond - Koch II,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Tesoro High Plains Pipeline,complete,Submittal,20220413-8006,04/13/2022,04/13/2022,Tesoro High Plains Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"123,329,685","84,843,051","31,496,102",,"65,020,176",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/tesoro_high_plains_pipeline_form6
07/26/2022,BKEP Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,North Dakota Pipeline,complete,Submittal,20220418-8111,04/18/2022,04/18/2022,North Dakota Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"152,521,684","97,629,370","26,529,937",,"73,842,105",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/north_dakota_pipeline_form6
07/26/2022,NORCO Pipe Line,complete,Submittal,20220418-8011,04/18/2022,04/18/2022,"Norco Pipe Line Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"16,087,897","16,699,466","4,339,543","305,422","4,085,641",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/norco_pipe_line_form6
07/26/2022,Whitecap Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Sanders Pipeline,complete,Submittal,20220320-8000,03/20/2022,03/20/2022,Sanders Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"3,291,136","3,493,806","41,792",,"2,403,651",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/sanders_pipeline_form6
07/26/2022,Texaco Petrochemical Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Centennial Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Chaparral Pipeline,complete,Submittal,20220413-8022,04/13/2022,04/13/2022,"Chaparral Pipeline Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"132,421,336","35,087,310","7,970,477",,"52,643,402",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/chaparral_pipeline_form6
07/26/2022,Williams Mid-South Pipelines,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Rocky Mountain Pipeline System,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Sabine Propylene Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Total Petrochemicals Pipeline USA,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Sunoco Pipeline,complete,Submittal,20220418-8010,04/18/2022,04/18/2022,Sunoco Pipeline L.P. submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"1,089,751,550","390,383,720","137,891,301","10,826,933","795,398,787",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/sunoco_pipeline_form6
07/26/2022,Regency Liquids Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Suncor Energy (U.S.A.) Pipeline,complete,Submittal,20220316-8001,03/16/2022,03/16/2022,Suncor Energy (U.S.A.) Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"44,210,071","35,735,461","7,419,261",,"27,034,820.4",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/suncor_energy__u_s_a___pipeline_form6
07/26/2022,Bridger Pipeline,complete,Submittal,20220601-8014,06/01/2022,06/01/2022,Bridger Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"179,565,686","97,046,695","20,285,990","883,997","103,207,078",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/bridger_pipeline_form6
07/26/2022,CCPS Transportation,complete,Submittal,20220414-8047,04/14/2022,04/14/2022,"CCPS Transportation, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"137,262,549","72,499,623","19,767,526",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/ccps_transportation_form6
07/26/2022,P.M.I. Services North America,complete,Submittal,20220525-8025,05/25/2022,05/25/2022,"P.M.I. Services North America, Inc. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"8,550,068","9,180,237","2,714,361",,"3,456,419",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/p_m_i__services_north_america_form6
07/26/2022,Kaston Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Centurion Pipeline,complete,Submittal,20220623-8002,06/23/2022,06/23/2022,Centurion Pipeline L.P. submits FERC Form 6 report for 2020/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2020/Q4,"186,736,888","110,545,047","20,813,590","22,705",,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/centurion_pipeline_form6
07/26/2022,Koch Alaska Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Enbridge Pipelines (Ozark),nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Inland,complete,Submittal,20220413-8046,04/13/2022,04/13/2022,Inland Corporation submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"37,989,499","17,476,004","1,607,073",,"55,887,508",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/inland_form6
07/26/2022,Holly Energy Partners - Operating,complete,Submittal,20220414-8077,04/14/2022,04/14/2022,"Holly Energy Partners - Operating, L.P. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"118,477,289","45,957,112.32","9,184,222","6,989,112","106,037,539",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/holly_energy_partners___operating_form6
07/26/2022,Coffeyville Resources Crude Transportation,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Wood River Pipe Lines,complete,Submittal,20220418-8004,04/18/2022,04/18/2022,Wood River Pipe Lines LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"78,772,084","62,560,709","12,560,239","1,219,206","53,735,622",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/wood_river_pipe_lines_form6
07/26/2022,Kinder Morgan Wink Pipeline,complete,Submittal,20220412-8024,04/12/2022,04/12/2022,Kinder Morgan Wink Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"54,684,009","24,081,545","3,491,365","760,431","48,772,465",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/kinder_morgan_wink_pipeline_form6
