FetchDate,Company,Status,Category,Accession,Filed,Document,Description,Class/Type,Security Level,Period,Operating Revenue,Operating Expenses,Depreciation,Amortization,Grand Total,Download File Location
07/26/2022,Chicap Pipe Line,complete,Submittal,20220415-8113,04/15/2022,04/15/2022,Chicap Pipe Line Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"31,251,933","13,886,830","3,656,736",,"107,354,952",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/chicap_pipe_line_form6
07/26/2022,Chisholm Pipeline,complete,Submittal,20220414-8003,04/14/2022,04/14/2022,Chisholm Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"44,813","1,967,489.00","218,150",,"90,184",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/chisholm_pipeline_form6
07/26/2022,Citgo Pipeline,complete,Submittal,20220418-8144,04/18/2022,04/18/2022,CITGO Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"93,857,885","12,241,238.00","2,095,503",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/citgo_pipeline_form6
07/26/2022,Citgo Products Pipeline,complete,Submittal,20220429-8019,04/29/2022,04/29/2022,CITGO Products Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"30,740,588","11,728,280.00","1,264,622",,"16,666,184",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/citgo_products_pipeline_form6
07/26/2022,Chuchula Pipelinee,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,The Premcor Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Premcor P.A. Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Coastal Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Kinder Morgan Cochin,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Collins Pipeline,complete,Submittal,20220404-8005,04/04/2022,04/04/2022,Collins Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"8,952,319","8,200,099","1,109,002",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/collins_pipeline_form6
