ObjectKey,FetchDate,Date,Year,Passengers
6651e2217ad21b8ea9578dd4b64518f9b195d8155243e3e2416e3fd58aa65c1b,05/31/2022,5/25/2022,2019,"2,269,035"
5a1d4ae07c4fe8e2f2539cf13d8b78efdbfad36d06eb9ffb3fe9f2a0e51550cb,05/31/2022,5/24/2022,2022,"2,020,742"
5b0f417e2a9ee0356a5601392327e4707fcb64a8f4d2eddbda18e02e516a483a,05/31/2022,5/24/2022,2021,"1,470,840"
919a3298de7647e4ddbbdcf2103dad06762dde22a469a03e5b49d71e2cd65859,05/31/2022,5/24/2022,2020,"264,843"
eaf7038f4c1a9aac3996ca57b790b151ed464de3775a118a724917611d4ee0fc,05/31/2022,5/24/2022,2019,"2,453,649"
b1bb97e9fe14f589157cecedfdc93b71a928b01ad269bae27b92afa8a281af36,05/31/2022,5/23/2022,2022,"2,329,044"
ad7e6bf7bb31315daef09a09e859b362ce313fef4b8678a88bc23a4bb193f1d3,05/31/2022,5/23/2022,2021,"1,747,353"
347b6bbf625d8f09a7e741dad1a0d594fc8047e340327757e2c3b600bfdd50a5,05/31/2022,5/23/2022,2020,"340,769"
b762e7b68c5beb15fbff30c29b953ded7c60db180f7a8672f16daa01dfc364ca,05/31/2022,5/23/2022,2019,"2,512,237"
87507a19867ac9cfc2f6589695bf4027270c0383fb45c7e7ec97d4711435be54,05/31/2022,5/22/2022,2022,"2,350,927"
9ba71cf2c0014353de0530a9b22a5244a8db58273fdd1d63ed73556a2dd2140e,05/31/2022,5/22/2022,2021,"1,863,697"
32e899bfc93009cb30c78ca9cebb86b82f6f980dca599a24e9711975a1fd3858,05/31/2022,5/22/2022,2020,"267,451"
e5e42c117fb31681b132591f6f26f5dc662064eaa1e3787cca937097a1ed7ba6,05/31/2022,5/22/2022,2019,"2,070,716"
555326cbc0d626ad61cbdfa687cd9fbadc0c221c574f0b2d8ed5d46b0b059b55,05/31/2022,5/21/2022,2022,"1,988,843"
b93acacb5d517bba24aea67caf4b925c753b3d29767c85feb742aef72bd6b711,05/31/2022,5/21/2022,2021,"1,550,044"
69f7691df1f0f31cf4fa4db08c4f305e95b680233d9adbd7753f40176177e9b6,05/31/2022,5/21/2022,2020,"253,190"
a352a8f0d345ef2e3fe1650e5cbc5feab9f2b4d058d167a8082e70e454cb4068,05/31/2022,5/21/2022,2019,"2,124,825"
e361a7d82128c1757c6225b599c563b7d5adcea74c1478f1c7811a340ffe1db5,05/31/2022,5/20/2022,2022,"2,346,625"
fea41ba28e8848e4bf5d4cdf95c85ea696ae91456bff10f71863bde3ea7760f0,05/31/2022,5/20/2022,2021,"1,820,433"
f5a62eedafe758397e9e148af28b26645b926f5a7140553351ee9a891fa58b23,05/31/2022,5/20/2022,2020,"348,673"
8ce3f6d027eb8c2f7263a6b1b2ea7a14d86f87869c44f482f93b4f5235437482,05/31/2022,5/20/2022,2019,"2,792,670"
32ad327503e90637de7dd8b6ce21202b7bd9ae43e1a328a5bce67054b741aff8,05/31/2022,5/19/2022,2022,"2,348,193"
6a68b5cd71a17d1e20c7caaa037224c7dcc6da8ec4512b74d4465365e2554520,05/31/2022,5/19/2022,2021,"1,728,496"
50fd3dce3b6974cba18cd2b0621cf621662479844442018caff029cf40478ae6,05/31/2022,5/19/2022,2020,"318,449"
f9299ad7af8b7ca1690fa86fb23a1cb20aba5988e2e02d0661f1f38481174d01,05/31/2022,5/19/2022,2019,"2,673,635"
e8259800b599f4f58c8b74817f8d11b6244ba7191618571217680b9a0b56d1a1,05/31/2022,5/18/2022,2022,"2,097,515"
50e4c65e579d316694ec36cba2d04f801b53698bd6f65d4f92b5d61ef87ed7c0,05/31/2022,5/18/2022,2021,"1,496,089"
dad595d5646281147a0a67034688ebbe0bbadb3e83c45c1e6f6e8c57bb58bba6,05/31/2022,5/18/2022,2020,"230,367"
3dc1889ef16d920a7aae5438f96ae4f1e694edd7d991938c62b14c532c7b5be8,05/31/2022,5/18/2022,2019,"2,472,123"
f36d5421ac20bdb9f5d6344673dd4b08fa673442070b54b44412f46d4b0b21df,05/31/2022,5/17/2022,2022,"2,036,479"
218486657eae340298b262d54273856a0ff96f43315740bf5cc830a4627bbc49,05/31/2022,5/17/2022,2021,"1,408,017"
30b568ff60a89c7c6f96464d9e8a616a9b2c0b052091a4550b24e1e4d2c06b9b,05/31/2022,5/17/2022,2020,"190,477"
4eb7f41f0d34d82736dc604665331333ef11b164d50ae79bafb868e9f45e5e5a,05/31/2022,5/17/2022,2019,"2,312,727"
1258d6008e74ce43068b1f88c1caf1484a2686ce4e255831828d6a8c86107607,05/31/2022,5/16/2022,2022,"2,278,197"
7fb4986b3c6c3d313546ff19b4e2d24bbb53a822bba7f0c36bbc1f63e1d6d391,05/31/2022,5/16/2022,2021,"1,734,541"
e80e0abe97935158b45593c6c49ac6fdc8b7628c5cddc84756af2d1002295907,05/31/2022,5/16/2022,2020,"244,176"
9eaf0aaced03050b05cfbd6e3d307a41245e8b6bcaa4a531393ed919d43a394b,05/31/2022,5/16/2022,2019,"2,615,691"
2c5bd1f3b055e566b5031c3ffbdd63c62e211928d8a171cb88d02452bf3a323e,05/31/2022,5/15/2022,2022,"2,395,894"
dacb10f6db7429e0e23041ae4d7d41f2de5880212cc6bd42287cd645322f7583,05/31/2022,5/15/2022,2021,"1,850,531"
95b3f06f778765942fd21d503ec1df0133e7ffb29cc35f5832cd3a609eda299f,05/31/2022,5/15/2022,2020,"253,807"
c732c2c410649913fc3c764e38ee2d06c743c31c24ddcceca477eeb2bd54c992,05/31/2022,5/15/2022,2019,"2,620,276"
ae18012a238743bfa4ba5b57ecc3ad4b7adb3026e11939510cd413a7b88c2a4d,05/31/2022,5/14/2022,2022,"1,979,713"
4487250dbe2a27328bda5ab01c88348be034b7204056b784f633dd613376f48f,05/31/2022,5/14/2022,2021,"1,453,267"
286a8282171283adcf7dcc8be80673a10677ca8fa56c0bcd793eae41f23fea18,05/31/2022,5/14/2022,2020,"193,340"
